,state,population_18_to_24_years_bachelor's_degree_or_higher,population_18_to_24_years_high_school_graduate_(includes_equivalency),population_18_to_24_years_less_than_high_school_graduate,population_18_to_24_years_some_college_or_associate's_degree,population_25_to_34_years_bachelor's_degree_or_higher,population_25_to_34_years_high_school_graduate_or_higher,"population_25_years_and_over_9th_to_12th_grade,_no_diploma",population_25_years_and_over_associate's_degree,population_25_years_and_over_bachelor's_degree,population_25_years_and_over_bachelor's_degree_or_higher,population_25_years_and_over_graduate_or_professional_degree,population_25_years_and_over_high_school_graduate_(includes_equivalency),population_25_years_and_over_high_school_graduate_or_higher,population_25_years_and_over_less_than_9th_grade,"population_25_years_and_over_some_college,_no_degree",population_35_to_44_years_bachelor's_degree_or_higher,population_35_to_44_years_high_school_graduate_or_higher,population_45_to_64_years_bachelor's_degree_or_higher,population_45_to_64_years_high_school_graduate_or_higher,population_65_years_and_over_bachelor's_degree_or_higher,population_65_years_and_over_high_school_graduate_or_higher
0,Alabama,0.098,0.37200000000000005,0.11599999999999999,0.414,0.32299999999999995,0.9259999999999999,0.069,0.09699999999999999,0.18,0.299,0.11800000000000001,0.299,0.8959999999999999,0.035,0.201,0.33299999999999996,0.8959999999999999,0.294,0.893,0.264,0.878
1,Alaska,0.08900000000000001,0.494,0.14300000000000002,0.27399999999999997,0.29100000000000004,0.924,0.049,0.095,0.196,0.32799999999999996,0.131,0.285,0.934,0.017,0.226,0.344,0.9440000000000001,0.35600000000000004,0.9420000000000001,0.306,0.922
2,Arizona,0.114,0.389,0.14,0.35700000000000004,0.35700000000000004,0.919,0.06,0.092,0.209,0.34700000000000003,0.138,0.233,0.897,0.043,0.225,0.35700000000000004,0.889,0.348,0.882,0.33299999999999996,0.9059999999999999
3,Arkansas,0.11800000000000001,0.387,0.138,0.35700000000000004,0.3,0.9209999999999999,0.066,0.08800000000000001,0.171,0.271,0.1,0.331,0.893,0.040999999999999995,0.20199999999999999,0.312,0.9079999999999999,0.26,0.8859999999999999,0.237,0.872
4,California,0.136,0.36200000000000004,0.094,0.408,0.42700000000000005,0.92,0.064,0.078,0.23199999999999998,0.381,0.149,0.205,0.848,0.087,0.185,0.42200000000000004,0.8740000000000001,0.35600000000000004,0.8109999999999999,0.342,0.8190000000000001
5,Colorado,0.141,0.349,0.11,0.39899999999999997,0.499,0.945,0.037000000000000005,0.08199999999999999,0.29,0.478,0.187,0.19,0.932,0.032,0.182,0.53,0.929,0.473,0.9209999999999999,0.415,0.9359999999999999
6,Connecticut,0.17800000000000002,0.366,0.087,0.369,0.474,0.946,0.045,0.077,0.233,0.426,0.193,0.254,0.9179999999999999,0.037000000000000005,0.162,0.45899999999999996,0.917,0.425,0.929,0.373,0.8859999999999999
7,Delaware,0.11599999999999999,0.35100000000000003,0.111,0.42200000000000004,0.358,0.9209999999999999,0.051,0.08199999999999999,0.2,0.36,0.16,0.29,0.9179999999999999,0.031,0.187,0.406,0.9009999999999999,0.361,0.9209999999999999,0.33399999999999996,0.9229999999999999
8,District of Columbia,0.302,0.243,0.053,0.402,0.7559999999999999,0.9570000000000001,0.049,0.02,0.271,0.655,0.38299999999999995,0.14300000000000002,0.92,0.032,0.102,0.733,0.9390000000000001,0.5820000000000001,0.897,0.494,0.866
9,Florida,0.131,0.363,0.133,0.373,0.37200000000000005,0.92,0.055,0.102,0.221,0.358,0.13699999999999998,0.264,0.904,0.040999999999999995,0.179,0.392,0.9079999999999999,0.353,0.902,0.336,0.893
10,Georgia,0.127,0.37799999999999995,0.147,0.348,0.377,0.9159999999999999,0.06,0.084,0.215,0.363,0.14800000000000002,0.262,0.898,0.042,0.188,0.39799999999999996,0.8959999999999999,0.371,0.899,0.31,0.882
11,Hawaii,0.11,0.43,0.084,0.376,0.371,0.9540000000000001,0.04,0.102,0.239,0.37799999999999995,0.139,0.272,0.937,0.023,0.18600000000000003,0.40299999999999997,0.95,0.376,0.938,0.36700000000000005,0.9179999999999999
12,Idaho,0.07400000000000001,0.41700000000000004,0.122,0.386,0.326,0.9440000000000001,0.046,0.099,0.218,0.33,0.11199999999999999,0.263,0.925,0.028999999999999998,0.233,0.36200000000000004,0.9279999999999999,0.33899999999999997,0.91,0.298,0.927
13,Illinois,0.171,0.345,0.106,0.379,0.466,0.945,0.047,0.086,0.233,0.392,0.159,0.24600000000000002,0.907,0.046,0.183,0.462,0.9179999999999999,0.373,0.8959999999999999,0.311,0.8859999999999999
14,Indiana,0.125,0.41700000000000004,0.134,0.324,0.35700000000000004,0.9109999999999999,0.057,0.09300000000000001,0.195,0.307,0.11199999999999999,0.32,0.9059999999999999,0.038,0.18600000000000003,0.35200000000000004,0.9059999999999999,0.295,0.902,0.252,0.907
15,Iowa,0.131,0.349,0.11199999999999999,0.408,0.36200000000000004,0.9359999999999999,0.043,0.12300000000000001,0.21100000000000002,0.321,0.109,0.29,0.93,0.027000000000000003,0.196,0.379,0.92,0.316,0.93,0.259,0.932
16,Kansas,0.10800000000000001,0.364,0.107,0.42100000000000004,0.375,0.938,0.045,0.096,0.22399999999999998,0.36,0.136,0.254,0.92,0.035,0.21,0.4,0.905,0.364,0.9129999999999999,0.317,0.927
17,Kentucky,0.11900000000000001,0.41600000000000004,0.122,0.34299999999999997,0.311,0.9279999999999999,0.067,0.09300000000000001,0.162,0.27899999999999997,0.11800000000000001,0.321,0.89,0.043,0.196,0.32899999999999996,0.9009999999999999,0.27699999999999997,0.887,0.225,0.857
18,Louisiana,0.105,0.369,0.159,0.36700000000000005,0.29600000000000004,0.9109999999999999,0.076,0.07400000000000001,0.17300000000000001,0.278,0.105,0.32899999999999996,0.882,0.042,0.201,0.31,0.8909999999999999,0.273,0.878,0.249,0.862
19,Maine,0.14300000000000002,0.379,0.075,0.40299999999999997,0.395,0.95,0.035,0.102,0.225,0.371,0.146,0.295,0.948,0.017,0.18,0.455,0.953,0.35,0.9540000000000001,0.337,0.937
20,Maryland,0.159,0.354,0.12300000000000001,0.364,0.475,0.927,0.045,0.066,0.23199999999999998,0.447,0.215,0.231,0.914,0.040999999999999995,0.17,0.496,0.914,0.442,0.9159999999999999,0.39399999999999996,0.903
21,Massachusetts,0.2,0.354,0.08900000000000001,0.35700000000000004,0.5710000000000001,0.948,0.040999999999999995,0.071,0.257,0.483,0.226,0.222,0.914,0.045,0.138,0.537,0.92,0.47,0.91,0.39399999999999996,0.889
22,Michigan,0.13,0.363,0.126,0.381,0.371,0.934,0.052000000000000005,0.099,0.20199999999999999,0.33299999999999996,0.131,0.275,0.922,0.026000000000000002,0.215,0.38299999999999995,0.9209999999999999,0.331,0.9229999999999999,0.278,0.915
23,Minnesota,0.149,0.364,0.124,0.363,0.455,0.9420000000000001,0.033,0.12,0.26,0.4,0.14,0.23,0.9420000000000001,0.025,0.192,0.452,0.94,0.402,0.9420000000000001,0.32,0.9440000000000001
24,Mississippi,0.102,0.364,0.125,0.409,0.292,0.912,0.079,0.11800000000000001,0.163,0.27,0.107,0.294,0.88,0.040999999999999995,0.198,0.301,0.894,0.265,0.888,0.24,0.838
25,Missouri,0.12300000000000001,0.386,0.11800000000000001,0.373,0.368,0.941,0.053,0.087,0.201,0.335,0.133,0.295,0.92,0.027000000000000003,0.204,0.397,0.927,0.332,0.915,0.271,0.9079999999999999
26,Montana,0.113,0.424,0.152,0.312,0.359,0.948,0.04,0.09300000000000001,0.243,0.363,0.12,0.263,0.946,0.015,0.22699999999999998,0.406,0.945,0.363,0.945,0.34,0.946
27,Nebraska,0.132,0.354,0.095,0.42,0.381,0.9440000000000001,0.035,0.113,0.223,0.354,0.13,0.252,0.9259999999999999,0.038,0.20800000000000002,0.44299999999999995,0.917,0.33799999999999997,0.914,0.285,0.9359999999999999
28,Nevada,0.08199999999999999,0.444,0.151,0.32299999999999995,0.28300000000000003,0.9079999999999999,0.069,0.09,0.184,0.285,0.10099999999999999,0.28,0.877,0.054000000000000006,0.221,0.297,0.873,0.275,0.852,0.293,0.89
29,New Hampshire,0.142,0.4,0.08800000000000001,0.37,0.43799999999999994,0.953,0.036000000000000004,0.09699999999999999,0.249,0.415,0.166,0.263,0.95,0.013999999999999999,0.175,0.49,0.955,0.401,0.9490000000000001,0.375,0.948
30,New Jersey,0.205,0.34,0.109,0.34600000000000003,0.522,0.945,0.045,0.066,0.264,0.445,0.182,0.247,0.904,0.052000000000000005,0.145,0.518,0.9109999999999999,0.43200000000000005,0.9,0.355,0.8740000000000001
31,New Mexico,0.094,0.382,0.149,0.375,0.28,0.883,0.071,0.087,0.17800000000000002,0.318,0.14,0.263,0.879,0.051,0.21100000000000002,0.32299999999999995,0.889,0.307,0.866,0.35100000000000003,0.883
32,New York,0.195,0.32799999999999996,0.094,0.38299999999999995,0.521,0.93,0.057999999999999996,0.087,0.228,0.41200000000000003,0.184,0.24,0.88,0.062,0.141,0.47700000000000004,0.8959999999999999,0.379,0.87,0.32899999999999996,0.846
33,North Carolina,0.141,0.365,0.11199999999999999,0.38299999999999995,0.401,0.935,0.055999999999999994,0.102,0.226,0.371,0.145,0.247,0.909,0.035,0.187,0.42,0.9,0.36700000000000005,0.9059999999999999,0.318,0.898
34,North Dakota,0.107,0.28600000000000003,0.09,0.518,0.39,0.9440000000000001,0.034,0.142,0.235,0.34,0.105,0.243,0.941,0.024,0.217,0.39399999999999996,0.941,0.322,0.96,0.276,0.9179999999999999
35,Ohio,0.13,0.40399999999999997,0.121,0.345,0.366,0.937,0.052000000000000005,0.091,0.19899999999999998,0.324,0.125,0.313,0.922,0.026000000000000002,0.19399999999999998,0.382,0.92,0.319,0.924,0.261,0.909
36,Oklahoma,0.078,0.395,0.14800000000000002,0.379,0.289,0.922,0.061,0.08199999999999999,0.188,0.293,0.105,0.308,0.902,0.037000000000000005,0.21899999999999997,0.32,0.899,0.289,0.894,0.28,0.9
37,Oregon,0.109,0.396,0.131,0.364,0.385,0.935,0.046,0.091,0.22899999999999998,0.37799999999999995,0.149,0.22699999999999998,0.9229999999999999,0.031,0.22699999999999998,0.42700000000000005,0.929,0.373,0.907,0.34600000000000003,0.93
38,Pennsylvania,0.14800000000000002,0.386,0.11199999999999999,0.355,0.44299999999999995,0.9440000000000001,0.048,0.08900000000000001,0.213,0.364,0.151,0.324,0.924,0.028999999999999998,0.147,0.442,0.93,0.348,0.9229999999999999,0.28300000000000003,0.9079999999999999
39,Puerto Rico,0.105,0.301,0.069,0.525,0.37,0.9570000000000001,0.07,0.125,0.209,0.297,0.08800000000000001,0.278,0.8190000000000001,0.111,0.11900000000000001,0.358,0.904,0.315,0.853,0.21,0.669
40,Rhode Island,0.18100000000000002,0.35600000000000004,0.08900000000000001,0.374,0.45799999999999996,0.929,0.047,0.08,0.225,0.39,0.165,0.27399999999999997,0.904,0.048,0.16,0.405,0.929,0.38299999999999995,0.897,0.342,0.879
41,South Carolina,0.109,0.405,0.121,0.365,0.34700000000000003,0.9279999999999999,0.062,0.10400000000000001,0.203,0.33299999999999996,0.13,0.27699999999999997,0.91,0.027999999999999997,0.196,0.379,0.914,0.32299999999999995,0.912,0.308,0.8909999999999999
42,South Dakota,0.11199999999999999,0.35600000000000004,0.141,0.391,0.408,0.9520000000000001,0.04,0.132,0.23,0.342,0.11199999999999999,0.27899999999999997,0.94,0.02,0.187,0.37799999999999995,0.9309999999999999,0.32899999999999996,0.9470000000000001,0.28800000000000003,0.93
43,Tennessee,0.136,0.40700000000000003,0.109,0.348,0.373,0.941,0.06,0.08,0.2,0.324,0.124,0.307,0.9059999999999999,0.035,0.195,0.36700000000000005,0.917,0.313,0.898,0.27,0.88
44,Texas,0.11699999999999999,0.386,0.135,0.361,0.37200000000000005,0.917,0.064,0.076,0.221,0.35200000000000004,0.131,0.244,0.867,0.069,0.195,0.392,0.884,0.33899999999999997,0.843,0.31,0.8370000000000001
45,Utah,0.081,0.373,0.099,0.447,0.4,0.946,0.038,0.099,0.255,0.391,0.13699999999999998,0.22399999999999998,0.9359999999999999,0.026000000000000002,0.222,0.428,0.9420000000000001,0.38299999999999995,0.922,0.353,0.9420000000000001
46,Vermont,0.109,0.41700000000000004,0.09300000000000001,0.381,0.48700000000000004,0.96,0.034,0.087,0.259,0.451,0.192,0.258,0.9470000000000001,0.019,0.151,0.521,0.9640000000000001,0.436,0.945,0.41,0.9329999999999999
47,Virginia,0.158,0.374,0.08800000000000001,0.38,0.457,0.95,0.046,0.078,0.24100000000000002,0.433,0.192,0.23600000000000002,0.917,0.037000000000000005,0.17,0.494,0.927,0.434,0.915,0.36700000000000005,0.888
48,Washington,0.141,0.38799999999999996,0.127,0.344,0.43799999999999994,0.9329999999999999,0.044000000000000004,0.102,0.244,0.41,0.166,0.21100000000000002,0.9229999999999999,0.033,0.2,0.46,0.922,0.39299999999999996,0.9109999999999999,0.36700000000000005,0.929
49,West Virginia,0.095,0.42200000000000004,0.136,0.34700000000000003,0.282,0.934,0.069,0.084,0.14800000000000002,0.244,0.096,0.39399999999999996,0.9009999999999999,0.03,0.179,0.281,0.912,0.239,0.909,0.20800000000000002,0.866
50,Wisconsin,0.147,0.39299999999999996,0.08900000000000001,0.371,0.408,0.951,0.039,0.11599999999999999,0.226,0.34600000000000003,0.12,0.28800000000000003,0.937,0.024,0.187,0.39399999999999996,0.9279999999999999,0.34,0.9359999999999999,0.281,0.935
51,Wyoming,0.091,0.358,0.11800000000000001,0.433,0.34700000000000003,0.935,0.034,0.106,0.203,0.32299999999999995,0.12,0.27899999999999997,0.9440000000000001,0.021,0.23600000000000002,0.32799999999999996,0.937,0.326,0.955,0.301,0.9420000000000001
